company_name,_name_key,country,region_bucket,revenue_eur_latest,ebitda_eur_latest,revenue_year,employees,industry_code,ownership_status,inactive,business_model_tags,source,stage_status
E-BO ENTERPRISES,e bo enterprises,BE,Benelux,37056392.0,6948541.0,2024,95,6201,Private,False,,Orbis,raw
AMADEUS LEISURE IT GMBH,amadeus leisure it gmbh,DE,DACH,37028144.11,7816099.8,2024,226,6201,Private,False,,Orbis,raw
PITS,pits,BE,Benelux,36729849.0,3040066.0,2024,104,2611,Private,False,,Orbis,raw
DEVOTEAM TECHNOLOGY CONSULTING A/S,devoteam technology consulting a s,DK,Denmark,36513130.0627251,1591212.70978819,2024,105,6202,Private,False,,Orbis,raw
SCHINDLER DIGITAL INNOVATION GMBH,schindler digital innovation gmbh,DE,DACH,36402386.63,4283527.47,2024,159,6209,Private,False,,Orbis,raw
ORGADATA SOFTWARE- DIENSTLEISTUNGEN AKTIENGESELLSCHAFT,orgadata software dienstleistungen aktiengesellschaft,DE,DACH,36175843.09,2083897.82,2024,322,6201,Private,False,,Orbis,raw
ALISTAR BELGIE,alistar belgie,BE,Benelux,31839624.0,4306756.0,2025,138,6202,Private,False,,Orbis,raw
SPOTIT,spotit,BE,Benelux,31804154.0,1640678.0,2025,65,6202,Private,False,,Orbis,raw
SYSKOPLAN REPLY GMBH,syskoplan reply gmbh,DE,DACH,35944119.63,2496969.759,2024,216,6209,Private,False,,Orbis,raw
GUIDECOM AG,guidecom ag,DE,DACH,35866005.24,2329051.41,2024,249,6201,Private,False,,Orbis,raw
ABBYY EUROPE GMBH,abbyy europe gmbh,DE,DACH,35811061.5,2581914.75,2024,72,6201,Private,False,,Orbis,raw
AVIOVISION,aviovision,BE,Benelux,35771290.0,4396657.0,2024,88,6201,Private,False,,Orbis,raw
GAF AG,gaf ag,DE,DACH,35586221.74,2957560.07,2024,215,6209,Private,False,,Orbis,raw
RAY SONO GMBH,ray sono gmbh,DE,DACH,33010993.450000003,2837408.8000000003,2024,241,6202,Private,False,,Orbis,raw
DIGITAL REALTY DENMARK APS,digital realty denmark aps,DK,Denmark,35218652.649935,9766121.90919456,2024,50,6209,Private,False,,Orbis,raw
BRASSERIE CAULIER,brasserie caulier,BE,Benelux,31115886.0,8155581.0,2025,74,1101,Private,False,,Orbis,raw
TOMTOMBELGIUM,tomtombelgium,BE,Benelux,35131607.0,1891300.0,2024,177,6201,Private,False,,Orbis,raw
HIS HOCHSCHUL-INFORMATIONS-SYSTEM EG,his hochschul informations system eg,DE,DACH,35086830.199999996,2920046.23,2024,356,6209,Private,False,,Orbis,raw
CIRCET PROJECTS,circet projects,BE,Benelux,35073557.0,1391259.0,2024,88,4329,Private,False,,Orbis,raw
BLUECRUX,bluecrux,BE,Benelux,34579287.0,8966585.0,2024,76,6202,Private,False,,Orbis,raw
SYSTEMATIC GMBH,systematic gmbh,DE,DACH,32030765.33,2523286.74,2024,22,6209,Private,False,,Orbis,raw
SCOPEVISIO AG,scopevisio ag,DE,DACH,34484828.78,4112124.71,2024,292,6201,Private,False,,Orbis,raw
FIS SYSTEME GMBH,fis systeme gmbh,DE,DACH,34413185.89,2007260.54,2024,148,6202,Private,False,,Orbis,raw
GDMCOM GMBH,gdmcom gmbh,DE,DACH,34412464.809999995,4059921.8000000003,2024,177,6209,Private,False,,Orbis,raw
JUNIPER NETWORKS GMBH,juniper networks gmbh,DE,DACH,34287280.0,1720671.0,2024,148,6209,Private,False,,Orbis,raw
GLUECKKANJA AG,glueckkanja ag,DE,DACH,34259993.47,5497245.93,2024,161,6202,Private,False,,Orbis,raw
TERADATA GMBH,teradata gmbh,DE,DACH,34231515.78,6115681.18,2024,98,6202,Private,False,,Orbis,raw
ORISE,orise,BE,Benelux,32867898.0,2363617.0,2024,167,4740,Private,False,,Orbis,raw
BEAULIEU ICT,beaulieu ict,BE,Benelux,33953295.0,4492818.0,2024,50,4651,Private,False,,Orbis,raw
ST SPORTSERVICE GMBH,st sportservice gmbh,DE,DACH,33948852.160000004,3520718.19,2024,183,6209,Private,False,,Orbis,raw
OBJECTWAY GMBH,objectway gmbh,DE,DACH,30039310.5,6252504.649999999,2025,126,6209,Private,False,,Orbis,raw
VAIVA GMBH,vaiva gmbh,DE,DACH,33821064.830000006,1486504.75,2024,225,6201,Private,False,,Orbis,raw
USG PROFESSIONALS,usg professionals,BE,Benelux,33812938.0,2242745.0,2024,158,6201,Private,False,,Orbis,raw
STP INFORMATIONSTECHNOLOGIE GMBH,stp informationstechnologie gmbh,DE,DACH,33584349.0,8909904.0,2024,103,6202,Private,False,,Orbis,raw
INSPARI A/S,inspari a s,DK,Denmark,29276885.970745,3455592.91065228,2025,142,6202,Private,False,,Orbis,raw
P/F FORMULA,p f formula,DK,Denmark,29133539.2849111,3988788.99440804,2025,94,6202,Private,False,,Orbis,raw
BANQUP SOLUTIONS,banqup solutions,BE,Benelux,32918333.0,3411730.0,2024,36,6209,Private,False,,Orbis,raw
SAGE GMBH,sage gmbh,AT,DACH,29097378.349999998,5547159.8100000005,2025,n.v.,6201,Private,False,,Orbis,raw
GOTO TECHNOLOGIES GERMANY GMBH,goto technologies germany gmbh,DE,DACH,32852324.73,2429423.39,2024,198,6201,Private,False,,Orbis,raw
"PROMOS CONSULT PROJEKTMANAGEMENT, ORGANISATION UND SERVICE GMBH",promos consult projektmanagement organisation und service gmbh,DE,DACH,32713099.17,1335369.25,2024,222,6201,Private,False,,Orbis,raw
WAVENET,wavenet,BE,Benelux,32600850.0,9010188.0,2024,166,6202,Private,False,,Orbis,raw
PAIR FINANCE GMBH,pair finance gmbh,DE,DACH,30644352.4,5094892.359999999,2023,166,6209,Private,False,,Orbis,raw
